29 June 2020 06:40:01 PM

FFT OpenMP
  C version with OpenMP

  Demonstrate an implementation of the Fast Fourier Transform of a complex data vector with OpenMP

  Accuracy check:

    FFT OpenMP ( FFT OpenMP( X(1:N) ) ) == N * X(1:N)

             N      NITS    Error         Time          Time/Call     MFLOPS

             2     10000  0.000000e+00  3.832030e-02  1.916015e-06      5.219166
             4     10000  8.032350e-17  7.094451e-02  3.547226e-06     11.276418
             8     10000  1.373831e-16  7.116009e-02  3.558005e-06     33.726769
            16     10000  2.193224e-01  1.149737e-01  5.748686e-06     55.664893
            32      1000  2.469246e-01  1.246544e-02  6.232719e-06    128.354906
            64      1000  3.775478e-02  2.133683e-02  1.066842e-05    179.970485
           128      1000  1.205600e-01  2.012561e-02  1.006280e-05    445.203985
           256      1000  1.533187e-01  3.319263e-02  1.659632e-05    617.004400
           512       100  8.982344e-02  6.092741e-03  3.046370e-05    756.309845
          1024       100  6.502840e-02  8.154770e-03  4.077385e-05   1255.706783
          2048       100  7.456994e-02  1.274340e-02  6.371700e-05   1767.817066
          4096       100  9.209154e-02  2.778403e-02  1.389202e-04   1769.073690
          8192        10  9.502271e-02  5.007294e-03  2.503647e-04   2126.817399
         16384        10  8.839418e-02  1.061760e-02  5.308800e-04   2160.337349
         32768        10  8.635652e-02  2.417813e-02  1.208906e-03   2032.911813
         65536        10  8.916031e-02  5.039141e-02  2.519571e-03   2080.862385
        131072         1  9.036126e-02  1.217135e-02  6.085677e-03   1830.711836
        262144         1  9.073432e-02  3.655706e-02  1.827853e-02   1290.747228
        524288         1  9.012555e-02  6.432844e-02  3.216422e-02   1548.533049
       1048576         1  8.820783e-02  1.479530e-01  7.397649e-02   1417.444997
       2097152         1  8.716903e-02  6.845515e-01  3.422757e-01    643.343771
       4194304         1  8.223308e-02  1.069104e+00  5.345519e-01    863.103121
       8388608         1  7.227427e-02  1.623769e+00  8.118846e-01   1188.210609
      16777216         1  7.265418e-02  3.079404e+00  1.539702e+00   1307.568737
      33554432         1  7.360802e-02  6.015691e+00  3.007846e+00   1394.454533
      67108864         1  8.078780e-02  1.282335e+01  6.411673e+00   1360.667024
     134217728         1  8.108554e-02  2.537320e+01  1.268660e+01   1428.230687
     268435456         1  7.966634e-02  5.329066e+01  2.664533e+01   1410.414676

FFT_OMP:
  Normal end of execution.

29 June 2020 06:44:49 PM


